"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PG_003120_T.1",440.793566376827,1.70821642312471,0.53655029325579,16.64407819417,0.00226618448551364,0.00979234548836437
"PG_003121_T.1",1148.97549909854,0.84518504817061,0.181456513153872,27.9314645369118,1.28782695724812e-05,0.000115374807743274
"PG_003132_T.1",8.06574425596785,-4.46044056430938,0.987743092803802,31.4709819743342,2.45358751158212e-06,2.70874642653509e-05
"PG_003134_T.1",151.080734494998,0.70855115970633,0.196075778887087,33.2595608344632,1.05687842568699e-06,1.29958328192815e-05
"PG_003139_T.1",123.327845473947,2.41209774831401,0.429992785155168,57.9736827543869,7.72868246279998e-12,4.03348828499079e-10
"PG_003143_T.1",904.012526396893,-0.473812706509835,0.226460163497191,13.7766681543808,0.00804303235591431,0.0283961763414683
"PG_003145_T.1",85.1682913472193,1.18099259454312,0.315715636821375,19.4220951790874,0.000649198589034187,0.00341127288473831
"PG_003150_T.1",318.366292499477,0.674308547138519,0.153864911474149,22.1927401957415,0.000183469029333892,0.00115363412374082
"PG_003153_T.1",277.949885417411,0.574223825067603,0.169285391004454,18.7955890573335,0.000862046961091924,0.00434057227680136
"PG_003155_T.1",237.748304838974,-0.752665034014412,0.31881864511204,15.5017512921443,0.00376607521482982,0.0150012145457053
"PG_003158_T.1",46.8838407922979,-0.766065897880879,0.310406512800837,12.3477564926757,0.0149442026211962,0.0469706735276284
"PG_003160_T.1",75.3717870258742,-1.02308715953386,0.393507958546713,13.919418598872,0.0075567292566262,0.0269964870127842
"PG_003166_T.1",740.010020746817,2.75028064760631,0.380353838063609,86.6577040421497,6.74846725003997e-18,1.71329883582594e-15
"PG_003170_T.1",179.001689545807,-1.15785861346563,0.242557799284432,34.8861589110229,4.90230448835608e-07,6.58961836599648e-06
"PG_003176_T.1",177.368573526149,0.531164412135867,0.18001097037156,12.4881428866021,0.0140675009247799,0.0447090997742615
"PG_003177_T.1",163.201400902534,1.08208655474558,0.244327366832852,22.6264318497894,0.000150350281850461,0.000971994565759652
"PG_003178_T.1",166.351643470515,-0.895193289672156,0.261468647378448,20.6663851693947,0.00036872598869869,0.0020995618439123
"PG_003180_T.1",223.811949085001,0.895057091412082,0.231043161867237,27.5926794498847,1.50827343233791e-05,0.000132247106508236
"PG_003182_T.1",84.7746424126172,1.18133728535681,0.300085322948212,23.9269811964509,8.26121654105267e-05,0.000578971020600216
"PG_003185_T.1",30.5839009424778,-1.78069805493114,0.401982147495764,34.3400099310487,6.34624209158748e-07,8.2494644555397e-06
"PG_003186_T.1",112.44250007169,0.911236867586711,0.289319209219355,15.8019619351702,0.0032967456101579,0.0134555677834633
"PG_003187_T.1",376.397338262074,1.30730223212354,0.206988301580827,65.2558847188565,2.27281963058404e-13,1.81000065203539e-11
"PG_003188_T.1",95.3326881789671,-1.51759144807839,0.419996751777362,17.7202128120731,0.00139954310976448,0.00652630474303375
"PG_003189_T.1",57.5638329272275,-2.04170697866352,0.445938456382214,32.4147131531576,1.57379670224057e-06,1.83433964265983e-05
"PG_003191_T.1",41.0838055768683,1.45869238722506,0.542523862111625,21.2793664995166,0.000278731105611944,0.00165668623694647
"PG_003193_T.1",7.87207583795271,-0.344435194232835,0.618661940613077,19.9826362907307,0.000503356221988254,0.00274976964757408
"PG_003194_T.1",287.314024328377,0.674355732824901,0.177420771438073,29.0041907531084,7.80208013239873e-06,7.42582184375647e-05
"PG_003195_T.1",216.954764945442,0.693464760312222,0.263486779432424,12.5811279304585,0.0135146221061284,0.0432380831945737
"PG_003199_T.1",29.4329705289007,3.94852386469764,0.791011526036405,45.5369110251228,3.07458406075088e-09,7.87681376292218e-08
"PG_003200_T.1",25.308814220763,2.5976596498401,0.659757269224669,56.4539700212563,1.61049798564057e-11,7.69298960512558e-10
"PG_003205_T.1",336.259642502544,0.442858394931903,0.235212962222337,14.448298452956,0.00599353211104292,0.0222344105978329
"PG_003211_T.1",147.473538464498,0.543231434924601,0.198829556602172,16.8990068241047,0.00202225668384979,0.00890267609357824
"PG_003212_T.1",40.7733018424778,-2.21662357816168,0.557144367624199,23.2638616554141,0.000112146665860571,0.000752233674900285
